noise,ruleLabel,rule,trial,primaryClass,tags,steps,gridSize,initialDensity,wrap,finalLive,finalDensity,finalActivity,avgLastDensity,avgLastActivity,finalBoundingBoxArea,avgLastArea,densityTrend,areaTrend,repeatPeriod,centerShift
0.000,"Sample 89","B012348/S2346",1,"Periodic","",500,500,0.240,true,8081,0.032324,0.991244,0.501609,0.993032,250000,1.000000,-0.008554,0.000000,16,0.004802
0.000,"Sample 90","B345678/S012368",1,"Disordered","",500,500,0.240,true,157382,0.629528,0.727608,0.627709,0.728120,250000,1.000000,0.004176,0.000000,0,0.000038
0.000,"Sample 91","B013578/S147",1,"Disordered","",500,500,0.240,true,108714,0.434856,0.580788,0.434069,0.579844,250000,1.000000,-0.001040,0.000000,0,0.000096
0.000,"Sample 92","B127/S14568",1,"Disordered","",500,500,0.240,true,113887,0.455548,0.320304,0.455532,0.321683,250000,1.000000,-0.001545,0.000000,0,0.000076
0.000,"Sample 93","B13568/S015678",1,"Periodic","",500,500,0.240,true,246530,0.986120,0.000016,0.986120,0.000016,250000,1.000000,0.047093,0.000000,2,0.000463
0.000,"Sample 94","B0235/S0123",1,"Periodic","",500,500,0.240,true,757,0.003028,0.974884,0.490430,0.974896,249500,0.999000,0.008461,-0.000480,4,0.012935
0.000,"Sample 95","B568/S0135",1,"Frozen","",500,500,0.240,true,29688,0.118752,0.000000,0.118752,0.000000,250000,1.000000,-0.000607,0.000000,1,0.000053
0.000,"Sample 96","B01567/S17",1,"Structured Dynamic","",500,500,0.240,true,84210,0.336840,0.548808,0.337448,0.547244,250000,1.000000,-0.000654,0.000000,0,0.000196
0.000,"Sample 97","B01357/S0148",1,"Disordered","",500,500,0.240,true,108178,0.432712,0.582496,0.433210,0.583920,250000,1.000000,-0.001158,0.000000,0,0.000092
0.000,"Sample 98","B1258/S03678",1,"Disordered","",500,500,0.240,true,103278,0.413112,0.521120,0.413734,0.520717,250000,1.000000,-0.001645,0.000000,0,0.000097
0.001,"Conway Life","B3/S23",1,"Structured Dynamic","",500,500,0.240,true,18841,0.075364,0.061140,0.076013,0.061500,250000,1.000000,-0.060257,0.000000,0,0.002355
0.001,"HighLife","B36/S23",1,"Structured Dynamic","",500,500,0.240,true,14846,0.059384,0.052560,0.062191,0.054471,250000,1.000000,-0.104462,0.000000,0,0.002588
0.001,"Sample 01","B23678/S348",1,"Disordered","",500,500,0.240,true,122758,0.491032,0.502072,0.490368,0.504493,250000,1.000000,0.000437,0.000000,0,0.000051
0.001,"Sample 02","B0467/S02356",1,"Disordered","",500,500,0.240,true,132676,0.530704,0.378876,0.531741,0.378565,250000,1.000000,0.013277,0.000000,0,0.000131
0.001,"Sample 03","B01348/S018",1,"Disordered","",500,500,0.240,true,102183,0.408732,0.738332,0.411743,0.738967,250000,1.000000,-0.001959,0.000000,0,0.000057
0.001,"Sample 04","B234/S0135",1,"Disordered","",500,500,0.240,true,124210,0.496840,0.569284,0.494463,0.569041,250000,1.000000,-0.000096,0.000000,0,0.000116
0.001,"Sample 05","B045678/S678",1,"Structured Dynamic","",500,500,0.240,true,70571,0.282284,0.473840,0.283045,0.475453,250000,1.000000,-0.000670,0.000000,0,0.000818
0.001,"Sample 06","B3467/S0356",1,"Disordered","",500,500,0.240,true,153557,0.614228,0.495312,0.615565,0.494691,250000,1.000000,0.019979,0.000000,0,0.000620
0.001,"Sample 07","B0378/S12368",1,"Disordered","",500,500,0.240,true,106159,0.424636,0.299848,0.425962,0.298958,250000,1.000000,0.001081,0.000000,0,0.000152
0.001,"Sample 08","B36/S06",1,"Bounded Dynamic","",500,500,0.240,true,12709,0.050836,0.002976,0.050687,0.003183,250000,1.000000,0.001057,0.000000,0,0.002121
0.001,"Sample 09","B1234567/S56",1,"Disordered","",500,500,0.240,true,127408,0.509632,0.979096,0.519235,0.957048,250000,1.000000,-0.136809,0.000000,0,0.001885
0.001,"Sample 10","B13568/S13567",1,"Expanding","",500,500,0.240,true,181453,0.725812,0.333444,0.726759,0.333622,250000,1.000000,0.004543,0.000000,0,0.000070
0.001,"Sample 11","B01467/S0134",1,"Disordered","",500,500,0.240,true,117658,0.470632,0.451708,0.470673,0.453434,250000,1.000000,-0.000293,0.000000,0,0.000016
0.001,"Sample 12","B1578/S035678",1,"Expanding","",500,500,0.240,true,249729,0.998916,0.001924,0.998797,0.002013,250000,1.000000,0.591815,0.000000,0,0.004763
0.001,"Sample 13","B1235678/S013578",1,"Disordered","",500,500,0.240,true,156919,0.627676,0.597420,0.626823,0.598423,250000,1.000000,-0.003362,0.000000,0,0.000110
0.001,"Sample 14","B0346/S1235",1,"Disordered","",500,500,0.240,true,131346,0.525384,0.531368,0.525882,0.530261,250000,1.000000,0.000381,0.000000,0,0.000068
0.001,"Sample 15","B24567/S03467",1,"Expanding","",500,500,0.240,true,183101,0.732404,0.460548,0.732964,0.460059,250000,1.000000,0.005157,0.000000,0,0.000025
0.001,"Sample 16","B1245/S2358",1,"Disordered","",500,500,0.240,true,133788,0.535152,0.560172,0.535566,0.557596,250000,1.000000,-0.000350,0.000000,0,0.000049
0.001,"Sample 17","B0123678/S035",1,"Disordered","",500,500,0.240,true,964,0.003856,0.998592,0.500549,0.997750,247005,0.998481,-0.000936,-0.001519,0,0.006566
0.001,"Sample 18","B12457/S2367",1,"Disordered","",500,500,0.240,true,138248,0.552992,0.587804,0.552301,0.588041,250000,1.000000,-0.000809,0.000000,0,0.000026
0.001,"Sample 19","B03568/S4568",1,"Expanding","",500,500,0.240,true,173037,0.692148,0.388616,0.692385,0.387611,250000,1.000000,0.022144,0.000000,0,0.000267
0.001,"Sample 20","B378/S01678",1,"Structured Dynamic","",500,500,0.240,true,21312,0.085248,0.017552,0.085492,0.017662,250000,1.000000,-0.008000,0.000000,0,0.002460
0.001,"Sample 21","B0268/S346",1,"Disordered","",500,500,0.240,true,97264,0.389056,0.345064,0.388521,0.345362,250000,1.000000,-0.000179,0.000000,0,0.000201
0.001,"Sample 22","B02468/S0245678",1,"Bounded Dynamic","",500,500,0.240,true,249542,0.998168,0.002124,0.998126,0.002002,250000,1.000000,0.033369,0.000000,0,0.000050
0.001,"Sample 23","B056/S1278",1,"Structured Dynamic","",500,500,0.240,true,68742,0.274968,0.036764,0.275254,0.038207,250000,1.000000,0.003339,0.000000,0,0.000430
0.001,"Sample 24","B13678/S03458",1,"Disordered","",500,500,0.240,true,138601,0.554404,0.365840,0.556112,0.365635,250000,1.000000,0.001035,0.000000,0,0.000101
0.001,"Sample 25","B234/S2345",1,"Disordered","",500,500,0.240,true,141217,0.564868,0.019572,0.565352,0.020129,250000,1.000000,-0.002187,0.000000,0,0.000175
0.001,"Sample 26","B24/S3456",1,"Bounded Dynamic","",500,500,0.240,true,163718,0.654872,0.005112,0.654958,0.004853,250000,1.000000,0.003246,0.000000,0,0.000253
0.001,"Sample 27","B01457/S0236",1,"Disordered","",500,500,0.240,true,123862,0.495448,0.546036,0.494057,0.542951,250000,1.000000,-0.000374,0.000000,0,0.000097
0.001,"Sample 28","B134568/S12568",1,"Expanding","",500,500,0.240,true,168628,0.674512,0.525660,0.673382,0.525277,250000,1.000000,0.000969,0.000000,0,0.000099
0.001,"Sample 29","B0568/S134",1,"Structured Dynamic","",500,500,0.240,true,70562,0.282248,0.145616,0.281727,0.145044,250000,1.000000,0.000612,0.000000,0,0.000286
0.001,"Sample 30","B6/S013678",1,"Bounded Dynamic","",500,500,0.240,true,38423,0.153692,0.001656,0.153039,0.001685,250000,1.000000,0.018941,0.000000,0,0.000608
0.001,"Sample 31","B0167/S012",1,"Disordered","",500,500,0.240,true,94620,0.378480,0.627824,0.384062,0.614389,250000,1.000000,0.020476,0.000000,0,0.001307
0.001,"Sample 32","B123567/S012357",1,"Disordered","",500,500,0.240,true,155441,0.621764,0.579276,0.620019,0.579603,250000,1.000000,-0.000990,0.000000,0,0.000095
0.001,"Sample 33","B03/S3456",1,"Bounded Dynamic","",500,500,0.240,true,154888,0.619552,0.007124,0.619551,0.007245,250000,1.000000,0.003919,0.000000,0,0.000149
0.001,"Sample 34","B1367/S026",1,"Disordered","",500,500,0.240,true,94409,0.377636,0.542936,0.377111,0.544104,250000,1.000000,-0.000648,0.000000,0,0.000066
0.001,"Sample 35","B1478/S1247",1,"Disordered","",500,500,0.240,true,103841,0.415364,0.388868,0.413608,0.389471,250000,1.000000,0.000000,0.000000,0,0.000082
0.001,"Sample 36","B123457/S01468",1,"Disordered","",500,500,0.240,true,149232,0.596928,0.638196,0.597405,0.638193,250000,1.000000,-0.001729,0.000000,0,0.000043
0.001,"Sample 37","B25/S012678",1,"Disordered","",500,500,0.240,true,91352,0.365408,0.427372,0.364394,0.428381,250000,1.000000,-0.000168,0.000000,0,0.000250
0.001,"Sample 38","B267/S026",1,"Structured Dynamic","",500,500,0.240,true,75820,0.303280,0.406632,0.304632,0.406889,250000,1.000000,-0.000480,0.000000,0,0.000373
0.001,"Sample 39","B01236/S1347",1,"Disordered","",500,500,0.240,true,129780,0.519120,0.504804,0.516568,0.503200,250000,1.000000,-0.002643,0.000000,0,0.000028
0.001,"Sample 40","B034568/S012368",1,"Disordered","",500,500,0.240,true,149660,0.598640,0.689076,0.599523,0.689445,250000,1.000000,0.000616,0.000000,0,0.000028
0.001,"Sample 41","B1378/S0357",1,"Disordered","",500,500,0.240,true,99420,0.397680,0.455540,0.397090,0.457321,250000,1.000000,-0.000566,0.000000,0,0.000123
0.001,"Sample 42","B047/S37",1,"Structured Dynamic","",500,500,0.240,true,66517,0.266068,0.414528,0.263669,0.412903,250000,1.000000,0.000170,0.000000,0,0.000219
0.001,"Sample 43","B01257/S02368",1,"Disordered","",500,500,0.240,true,114091,0.456364,0.455008,0.457338,0.455332,250000,1.000000,-0.002647,0.000000,0,0.000074
0.001,"Sample 44","B04567/S1238",1,"Disordered","",500,500,0.240,true,104002,0.416008,0.445516,0.416872,0.446062,250000,1.000000,0.000660,0.000000,0,0.000269
0.001,"Sample 45","B0134/S124678",1,"Disordered","",500,500,0.240,true,136274,0.545096,0.439452,0.544685,0.441296,250000,1.000000,-0.001643,0.000000,0,0.000108
0.001,"Sample 46","B03468/S3578",1,"Disordered","",500,500,0.240,true,135122,0.540488,0.553020,0.540390,0.552631,250000,1.000000,0.003014,0.000000,0,0.000036
0.001,"Sample 47","B015678/S0123567",1,"Expanding","",500,500,0.240,true,165907,0.663628,0.347424,0.663471,0.347084,250000,1.000000,0.003401,0.000000,0,0.000246
0.001,"Sample 48","B034678/S0137",1,"Disordered","",500,500,0.240,true,116921,0.467684,0.649188,0.468808,0.651005,250000,1.000000,0.000249,0.000000,0,0.000090
0.001,"Sample 49","B2/S014678",1,"Structured Dynamic","",500,500,0.240,true,79362,0.317448,0.373848,0.317835,0.373772,250000,1.000000,-0.000009,0.000000,0,0.000050
0.001,"Sample 50","B023678/S123578",1,"Disordered","",500,500,0.240,true,135002,0.540008,0.437532,0.541135,0.437701,250000,1.000000,-0.001795,0.000000,0,0.000050
0.001,"Sample 51","B12/S023478",1,"Disordered","",500,500,0.240,true,118500,0.474000,0.052512,0.473743,0.051397,250000,1.000000,0.000420,0.000000,0,0.000300
0.001,"Sample 52","B12578/S023567",1,"Disordered","",500,500,0.240,true,159842,0.639368,0.315152,0.641731,0.313917,250000,1.000000,0.000439,0.000000,0,0.000370
0.001,"Sample 53","B0147/S03578",1,"Disordered","",500,500,0.240,true,98015,0.392060,0.443992,0.391361,0.444157,250000,1.000000,-0.000882,0.000000,0,0.000249
