noise,label,rule,dominantClass,distribution,extinctPct,frozenPct,periodicPct,expandingPct,disorderedPct,structuredPct,boundedPct,avgFinalDensity,avgLastActivity,avgLastArea,avgDensityTrend,avgAreaTrend,avgCenterShift,mobilePct
0.000,"Sample 72","B028/S1234578","Frozen","Frozen: 100%",0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.504032,0.000004,1.000000,-0.000324,0.000000,0.000003,0.000
0.000,"Sample 73","B3678/S2348","Disordered","Disordered: 100%",0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.483012,0.366438,1.000000,0.009410,0.000000,0.000176,0.000
0.000,"Sample 74","B047/S02378","Structured Dynamic","Structured Dynamic: 100%",0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.297700,0.253897,1.000000,-0.000251,0.000000,0.000564,0.000
0.000,"Sample 75","B2457/S1235678","Periodic","Periodic: 100%",0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.946144,0.000096,1.000000,0.010835,0.000000,0.000017,0.000
0.000,"Sample 76","B01346/S013568","Disordered","Disordered: 100%",0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.610712,0.436735,1.000000,-0.000228,0.000000,0.000076,0.000
0.000,"Sample 77","B0347/S2567","Disordered","Disordered: 100%",0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.537900,0.457988,1.000000,0.004058,0.000000,0.000259,0.000
0.000,"Sample 78","B134/S123578","Disordered","Disordered: 100%",0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.543748,0.430988,1.000000,-0.000501,0.000000,0.000051,0.000
0.000,"Sample 79","B0234678/S12567","Expanding","Expanding: 100%",0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.710328,0.437003,1.000000,0.000417,0.000000,0.000012,0.000
0.000,"Sample 80","B2568/S0156","Structured Dynamic","Structured Dynamic: 100%",0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.340680,0.472665,1.000000,0.000232,0.000000,0.000155,0.000
0.000,"Sample 81","B17/S2348","Disordered","Disordered: 100%",0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.426144,0.021369,1.000000,0.004247,0.000000,0.000047,0.000
0.000,"Sample 82","B012/S02457","Disordered","Disordered: 100%",0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.425944,0.359256,1.000000,-0.002103,0.000000,0.000038,0.000
0.000,"Sample 83","B0123468/S145","Periodic","Periodic: 100%",0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.032484,0.995486,1.000000,-0.000884,0.000000,0.001331,0.000
0.000,"Sample 84","B012357/S023467","Disordered","Disordered: 100%",0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.632644,0.390650,1.000000,-0.002025,0.000000,0.000098,0.000
0.000,"Sample 85","B01248/S0358","Disordered","Disordered: 100%",0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.459976,0.533889,1.000000,-0.001904,0.000000,0.000067,0.000
0.000,"Sample 86","B568/S016","Frozen","Frozen: 100%",0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.104316,0.000000,1.000000,-0.000075,0.000000,0.000017,0.000
0.000,"Sample 87","B012456/S0137","Disordered","Disordered: 100%",0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.506672,0.725129,1.000000,-0.001878,0.000000,0.000029,0.000
