label,rule,dominantClass,distribution,extinctPct,frozenPct,periodicPct,expandingPct,disorderedPct,structuredPct,boundedPct,avgFinalDensity,avgLastActivity,avgLastArea,avgDensityTrend,avgAreaTrend,avgCenterShift,mobilePct
"Sample 79","B0234678/S12567","Expanding","Expanding: 100%","0.000","0.000","0.000","1.000","0.000","0.000","0.000","0.710460","0.437185","1.000000","0.000375","0.000000","0.000304","0.000"
"Sample 80","B2568/S0156","Structured Dynamic","Structured Dynamic: 100%","0.000","0.000","0.000","0.000","0.000","1.000","0.000","0.340060","0.472608","1.000000","-0.000198","0.000000","0.000692","0.000"
"Sample 81","B17/S2348","Periodic","Periodic: 80% / Disordered: 20%","0.000","0.000","0.800","0.000","0.200","0.000","0.000","0.426120","0.021127","1.000000","0.004160","0.000000","0.000256","0.000"
"Sample 82","B012/S02457","Disordered","Disordered: 100%","0.000","0.000","0.000","0.000","1.000","0.000","0.000","0.429420","0.359185","1.000000","-0.001961","0.000000","0.000446","0.000"
"Sample 83","B0123468/S145","Periodic","Periodic: 100%","0.000","0.000","1.000","0.000","0.000","0.000","0.000","0.032080","0.995125","0.998500","-0.000927","-0.000270","0.006612","0.000"
"Sample 84","B012357/S023467","Disordered","Disordered: 100%","0.000","0.000","0.000","0.000","1.000","0.000","0.000","0.635280","0.390660","1.000000","-0.001737","0.000000","0.000316","0.000"
"Sample 85","B01248/S0358","Disordered","Disordered: 100%","0.000","0.000","0.000","0.000","1.000","0.000","0.000","0.459130","0.533547","1.000000","-0.002217","0.000000","0.000363","0.000"
"Sample 86","B568/S016","Frozen","Frozen: 100%","0.000","1.000","0.000","0.000","0.000","0.000","0.000","0.104690","0.000000","1.000000","-0.000074","0.000000","0.000050","0.000"
"Sample 87","B012456/S0137","Disordered","Disordered: 100%","0.000","0.000","0.000","0.000","1.000","0.000","0.000","0.507870","0.725057","1.000000","-0.001794","0.000000","0.000361","0.000"
"Sample 88","B016/S128","Disordered","Disordered: 100%","0.000","0.000","0.000","0.000","1.000","0.000","0.000","0.356820","0.446085","1.000000","-0.000266","0.000000","0.000586","0.000"
"Sample 89","B012348/S2346","Periodic","Periodic: 100%","0.000","0.000","1.000","0.000","0.000","0.000","0.000","0.033710","0.991178","0.999000","-0.007901","-0.000760","0.014326","0.000"
"Sample 90","B345678/S012368","Disordered","Disordered: 100%","0.000","0.000","0.000","0.000","1.000","0.000","0.000","0.628840","0.727995","1.000000","0.004170","0.000000","0.000266","0.000"
"Sample 91","B013578/S147","Disordered","Disordered: 100%","0.000","0.000","0.000","0.000","1.000","0.000","0.000","0.433980","0.579996","1.000000","-0.000765","0.000000","0.000500","0.000"
"Sample 92","B127/S14568","Disordered","Disordered: 100%","0.000","0.000","0.000","0.000","1.000","0.000","0.000","0.455190","0.321187","1.000000","-0.001227","0.000000","0.000982","0.000"
"Sample 93","B13568/S015678","Frozen","Frozen: 80% / Periodic: 20%","0.000","0.800","0.200","0.000","0.000","0.000","0.000","0.985330","0.000120","1.000000","0.047110","0.000000","0.000968","0.000"
"Sample 94","B0235/S0123","Periodic","Periodic: 100%","0.000","0.000","1.000","0.000","0.000","0.000","0.000","0.003480","0.971960","0.956480","0.008139","-0.012187","0.030220","0.000"
"Sample 95","B568/S0135","Frozen","Frozen: 100%","0.000","1.000","0.000","0.000","0.000","0.000","0.000","0.117610","0.000000","1.000000","-0.000641","0.000000","0.000170","0.000"
"Sample 96","B01567/S17","Structured Dynamic","Structured Dynamic: 100%","0.000","0.000","0.000","0.000","0.000","1.000","0.000","0.344070","0.547606","1.000000","-0.000498","0.000000","0.000640","0.000"
"Sample 97","B01357/S0148","Disordered","Disordered: 100%","0.000","0.000","0.000","0.000","1.000","0.000","0.000","0.432780","0.584120","1.000000","-0.001122","0.000000","0.000519","0.000"
"Sample 98","B1258/S03678","Disordered","Disordered: 100%","0.000","0.000","0.000","0.000","1.000","0.000","0.000","0.415350","0.520444","1.000000","-0.001736","0.000000","0.000611","0.000"
